room_nb room_name x y longueur largeur windows doors
1 Laboratoire 0 0 696 492 0 1 
2 Laboratoire 696 0 649 328 0 0
3 Laboratoire 1345 0 181 331 0 2 
4 Menage 1526 0 105 331 0 1 
5 Bureau 1631 0 572 328 1 1 
6 Bureau 2203 0 566 323 1 1
7 Bureau 2769 0 494 323 1 1
8 Bureau 3263 0 464 328 1 1
9 Bureau 3727 0 464 328 1 1
10 Bureau 4191 0 404 328 1 1
11 Bureau_chercheur 4595 0 883 884 4 1
12 Acces 3691 492 602 323 0 1
13 Espace 3431 492 260 323 0 0
14 Sanitaires 3108 492 323 382 0 1
15 Acces 2781 492 541 382 0 0
16 Bureau 2454 492 327 382 1 1
17 Bureau 2132 492 322 382 1 1
18 Bureau 1808 492 324 379 1 1
19 Bureau 1482 492 326 379 1 1
20 Acces 880 492 602 379 0 1
21 Laboratoire 0 492 880 379 0 1 
22 Couloir 696 328 3869 154 0 0
