id_pièce id_objet
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R2 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R1D2
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R2 urn:ngsi-ld:Window:SmartCitiesdomain:SmartBuildings:B1F3R1W12
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R10 urn:ngsi-ld:Window:SmartCitiesdomain:SmartBuildings:B1F3R9W3
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R13 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R13D3
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R1D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R2D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R3D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R4D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R5D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R6D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R7D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R8D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R9D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R10D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R11D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R15D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R16D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R17D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F3R19 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F3R18D1
