id_pièce id_objet
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R1D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R2 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R3D2
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R3D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R4D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R5D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R6D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R7D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R8D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R9D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R10D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R11D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R12D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R15 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R14D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R16D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R17D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R18D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R19D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R20D1
urn:ngsi-ld:Room:SmartCitiesdomain:SmartBuildings:B1F4R22 urn:ngsi-ld:Door:SmartCitiesdomain:SmartBuildings:B1F4R21D1
